gene_name,sample_name,gene_family,aro_accession,drug_class,high_level_drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_gene_id,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
cmx,App2_pt69_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3002703,phenicol antibiotic,phenicol antibiotic,antibiotic efflux,protein homolog,1,Nudged,19.898,100.0,Unknown taxonomy (chromosome or plasmid),16.0,ARO:3002703|ID:1366|Name:cmx|NCBI:AF024666.2,44.13,1.12,,18966584,0.84,0.06
emeA,App2_pt69_mNGS,multidrug and toxic compound extrusion (MATE) transporter,ARO:3003551,disinfecting agents and antiseptics,disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2.0,ARO:3003551|ID:618|Name:emeA|NCBI:AB091338.1,8.04,0.16,,18966584,0.11,0.01
eptB,App2_pt69_mNGS,pmr phosphoethanolamine transferase,ARO:3005047,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,2.0,ARO:3005047|ID:3791|Name:eptB|NCBI:FO203501.1,16.93,0.17,,18966584,0.11,0.01
kdpD,App2_pt69_mNGS,kdpDE,ARO:3004047,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic efflux,protein homolog,5,Nudged,69.4131,98.732,,113.0,ARO:3004047|ID:5918|Name:kdpD|NCBI:FHDU01000010.1,99.4,3.84,,18966584,5.96,0.2
lnuA,App2_pt69_mNGS,lincosamide nucleotidyltransferase (LNU),ARO:3002835,lincosamide antibiotic,lincosamide antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,ARO:3002835|ID:27|Name:lnuA|NCBI:M14039.1,9.88,0.2,,18966584,0.11,0.01
lsaA,App2_pt69_mNGS,lsa-type ABC-F protein,ARO:3000300,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic; pleuromutilin antibiotic,lincosamide antibiotic; pleuromutilin antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,0,,,,,4.0,ARO:3000300|ID:1298|Name:lsaA|NCBI:AY225127.1,28.92,0.38,Enterococcus faecalis (chromosome): 4; ,18966584,0.21,0.02
mepA,App2_pt69_mNGS,multidrug and toxic compound extrusion (MATE) transporter,ARO:3000026,glycylcycline; tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,2,Nudged,98.8938,98.86500000000001,Unknown taxonomy (chromosome or plasmid) Staphylococcus aureus (chromosome or plasmid),69.0,ARO:3000026|ID:377|Name:mepA|NCBI:AY661734.1,99.26,5.13,Staphylococcus aureus (chromosome): 15; Staphylococcus aureus (chromosome or plasmid): 13; ,18966584,3.64,0.27
mepR,App2_pt69_mNGS,multidrug and toxic compound extrusion (MATE) transporter,ARO:3000746,glycylcycline; tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,1,Strict,99.2857,99.28,Staphylococcus aureus (chromosome or plasmid),25.0,ARO:3000746|ID:856|Name:mepR|NCBI:BA000017.4,100.0,5.06,Staphylococcus aureus (chromosome): 3; Staphylococcus aureus (chromosome or plasmid): 7; ,18966584,1.32,0.27
mgrA,App2_pt69_mNGS,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000815,fluoroquinolone antibiotic; cephalosporin; penam; tetracycline antibiotic; peptide antibiotic; disinfecting agents and antiseptics,peptide antibiotic; beta-lactam antibiotic; disinfecting agents and antiseptics; fluoroquinolone antibiotic; tetracycline antibiotic,antibiotic efflux,protein homolog,1,Strict,99.3243,99.32,Unknown taxonomy (chromosome),11.0,ARO:3000815|ID:154|Name:mgrA|NCBI:BA000018.3,100.0,2.54,,18966584,0.58,0.13
norC,App2_pt69_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3007010,fluoroquinolone antibiotic; disinfecting agents and antiseptics,disinfecting agents and antiseptics; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,2,Nudged,62.419,99.42,Staphylococcus aureus (chromosome or plasmid),52.0,ARO:3007010|ID:5726|Name:norC|NCBI:CP005288.1,79.48,3.44,Staphylococcus aureus (chromosome): 3; Staphylococcus aureus (chromosome or plasmid): 8; ,18966584,2.74,0.18
oqxB,App2_pt69_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003923,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,nitrofuran antibiotic; diaminopyrimidine antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,2.0,ARO:3003923|ID:2400|Name:oqxB|NCBI:EU370913.1,3.68,0.07,,18966584,0.11,0.0
patB,App2_pt69_mNGS,ATP-binding cassette (ABC) antibiotic efflux pump,ARO:3000025,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,2.0,ARO:3000025|ID:2112|Name:patB|NCBI:AE005672.3,16.53,0.17,,18966584,0.11,0.01
rphB,App2_pt69_mNGS,rifampin phosphotransferase,ARO:3003992,rifamycin antibiotic,rifamycin antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,ARO:3003992|ID:2528|Name:rphB|NCBI:KX531052.1,3.73,0.07,,18966584,0.11,0.0
rpoB2,App2_pt69_mNGS,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),ARO:3000501,rifamycin antibiotic,rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,4.0,ARO:3000501|ID:2831|Name:rpoB2|NCBI:AP006618.1,6.68,0.13,,18966584,0.21,0.01
salE,App2_pt69_mNGS,sal-type ABC-F protein,ARO:3007029,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic,lincosamide antibiotic; pleuromutilin antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,1,Nudged,1.4706,100.0,,,,,,,18966584,0.0,0.0
sdrM,App2_pt69_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3007013,fluoroquinolone antibiotic; disinfecting agents and antiseptics,disinfecting agents and antiseptics; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,1,Strict,36.6071,92.68,Staphylococcus aureus (chromosome),13.0,ARO:3007013|ID:5729|Name:sdrM|NCBI:BA000018.3,39.96,0.68,Staphylococcus aureus (chromosome): 2; ,18966584,0.69,0.04
sepA,App2_pt69_mNGS,small multidrug resistance (SMR) antibiotic efflux pump,ARO:3007012,disinfecting agents and antiseptics,disinfecting agents and antiseptics,antibiotic efflux,protein homolog,1,Strict,55.6962,93.18,Staphylococcus aureus (chromosome),3.0,ARO:3007012|ID:5728|Name:sepA|NCBI:NC_016941.1,33.12,0.8,Staphylococcus aureus (chromosome): 3; ,18966584,0.16,0.04
sul1,App2_pt69_mNGS,sulfonamide resistant sul,ARO:3000410,sulfonamide antibiotic,sulfonamide antibiotic,antibiotic target replacement,protein homolog,0,,,,,2.0,ARO:3000410|ID:1070|Name:sul1|NCBI:JF969163.1,24.05,0.35,,18966584,0.11,0.02
tet(38),App2_pt69_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000565,tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,1,Nudged,81.153,99.18,Staphylococcus aureus (chromosome or plasmid),63.0,ARO:3000565|ID:1835|Name:tet(38)|NCBI:AY825285.1,98.74,4.3,Staphylococcus aureus (chromosome): 14; Staphylococcus aureus (chromosome or plasmid): 5; ,18966584,3.32,0.23
tet(O/M/O),App2_pt69_mNGS,tetracycline-resistant ribosomal protection protein,ARO:3007120,tetracycline antibiotic,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,2.0,ARO:3007120|ID:5790|Name:tet(O/M/O)|NCBI:AY394560.1,8.7,0.15,,18966584,0.11,0.01
ICR-Mo,App2_pt70_culture,intrinsic colistin resistant phosphoethanolamine transferase,ARO:3004569,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,2.0,ARO:3004569|ID:3271|Name:ICR-Mo|NCBI:NZ_CP014234.1,1.01,0.02,,7268486,0.74,0.01
OXA-293,App2_pt70_culture,OXA beta-lactamase,ARO:3001748,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,1.0,ARO:3001748|ID:3456|Name:OXA-293|NCBI:NG_050610.1,2.27,0.02,,7268486,0.37,0.01
PC1 beta-lactamase (blaZ),App2_pt70_culture,BlaZ beta-lactamase,ARO:3000621,penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Strict,99.6454,96.09,Unknown taxonomy (chromosome or plasmid),3380.0,ARO:3000621|ID:726|Name:PC1_beta-lactamase_(blaZ)|NCBI:CP000732.1,100.0,446.01,Staphylococcus aureus (chromosome or plasmid): 16; Escherichia coli (chromosome or plasmid): 1; Staphylococcus aureus (plasmid): 92; ,7268486,1244.32,164.19
Staphylococcus aureus FosB,App2_pt70_culture,fosfomycin thiol transferase,ARO:3004661,phosphonic acid antibiotic,phosphonic acid antibiotic,antibiotic inactivation,protein homolog,1,Perfect,99.2857,100.0,Staphylococcus aureus (chromosome),389.0,ARO:3004661|ID:3362|Name:Staphylococcus_aureus_FosB|NCBI:AHLO01000073.1,100.0,94.65,Staphylococcus aureus (chromosome): 148; ,7268486,143.21,34.84
Staphylococcus aureus LmrS,App2_pt70_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004572,macrolide antibiotic; aminoglycoside antibiotic; oxazolidinone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,aminoglycoside antibiotic; macrolide antibiotic; phenicol antibiotic; diaminopyrimidine antibiotic; oxazolidinone antibiotic,antibiotic efflux,protein homolog,1,Perfect,99.7921,100.0,Staphylococcus aureus (chromosome),1002.0,ARO:3004572|ID:3276|Name:Staphylococcus_aureus_LmrS|NCBI:CP000046.1,100.0,76.87,Staphylococcus aureus (chromosome): 328; ,7268486,368.88,28.3
Staphylococcus aureus murA with mutation conferring resistance to fosfomycin,App2_pt70_culture,antibiotic-resistant murA transferase,ARO:3003776,phosphonic acid antibiotic,phosphonic acid antibiotic,antibiotic target alteration,protein variant,1,Strict,99.763,99.29,Staphylococcus aureus (chromosome),,,,,,7268486,0.0,0.0
Staphylococcus aureus norA,App2_pt70_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004667,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,1,Strict,99.7429,99.74,Staphylococcus aureus (chromosome),943.0,ARO:3004667|ID:3367|Name:Staphylococcus_aureus_norA|NCBI:D90119.1,100.0,90.75,Staphylococcus aureus (chromosome): 152; ,7268486,347.16,33.41
arlR,App2_pt70_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000838,fluoroquinolone antibiotic; disinfecting agents and antiseptics,fluoroquinolone antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,1,Perfect,99.5455,100.0,Staphylococcus aureus (chromosome),455.0,ARO:3000838|ID:1390|Name:arlR|NCBI:CP023390.1,100.0,74.47,Staphylococcus aureus (chromosome): 56; Staphylococcus epidermidis (chromosome): 25; ,7268486,167.5,27.42
arlS,App2_pt70_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000839,fluoroquinolone antibiotic; disinfecting agents and antiseptics,fluoroquinolone antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,1,Perfect,99.7788,100.0,Staphylococcus aureus (chromosome),826.0,ARO:3000839|ID:182|Name:arlS|NCBI:CP000253.1,100.0,70.14,Staphylococcus aureus (chromosome): 152; Staphylococcus (chromosome): 16; ,7268486,304.08,25.82
cfrC,App2_pt70_culture,Cfr 23S ribosomal RNA methyltransferase,ARO:3004146,lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic,lincosamide antibiotic; streptogramin antibiotic; phenicol antibiotic; oxazolidinone antibiotic,antibiotic target alteration,protein homolog,0,,,,,1.0,ARO:3004146|ID:2800|Name:cfrC|NCBI:AM412317.1,1.84,0.02,,7268486,0.37,0.01
kdpD,App2_pt70_culture,kdpDE,ARO:3004047,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic efflux,protein homolog,1,Strict,99.8871,98.76,,1945.0,ARO:3004047|ID:5918|Name:kdpD|NCBI:FHDU01000010.1,100.0,87.53,,7268486,716.03,32.22
mepA,App2_pt70_culture,multidrug and toxic compound extrusion (MATE) transporter,ARO:3000026,glycylcycline; tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,1,Perfect,99.7788,100.0,Staphylococcus aureus (chromosome or plasmid),980.0,ARO:3000026|ID:377|Name:mepA|NCBI:AY661734.1,100.0,81.23,Staphylococcus aureus (chromosome or plasmid): 367; ,7268486,360.78,29.9
mepR,App2_pt70_culture,multidrug and toxic compound extrusion (MATE) transporter,ARO:3000746,glycylcycline; tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,1,Strict,99.2857,99.28,Staphylococcus aureus (chromosome or plasmid),392.0,ARO:3000746|ID:856|Name:mepR|NCBI:BA000017.4,100.0,88.29,Staphylococcus aureus (chromosome): 8; Staphylococcus aureus (chromosome or plasmid): 64; ,7268486,144.31,32.5
mgrA,App2_pt70_culture,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000815,fluoroquinolone antibiotic; cephalosporin; penam; tetracycline antibiotic; peptide antibiotic; disinfecting agents and antiseptics,fluoroquinolone antibiotic; beta-lactam antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics; peptide antibiotic,antibiotic efflux,protein homolog,1,Perfect,99.3243,100.0,Staphylococcus aureus (chromosome),437.0,ARO:3000815|ID:154|Name:mgrA|NCBI:BA000018.3,100.0,101.6,Staphylococcus aureus (chromosome): 66; ,7268486,160.88,37.4
norC,App2_pt70_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3007010,fluoroquinolone antibiotic; disinfecting agents and antiseptics,fluoroquinolone antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,3,Strict,99.784,76.36333333333333,Staphylococcus aureus (chromosome) Staphylococcus aureus (chromosome or plasmid),1128.0,ARO:3007010|ID:5726|Name:norC|NCBI:CP005288.1,100.0,90.35,Staphylococcus aureus (chromosome): 7; Staphylococcus aureus (chromosome or plasmid): 543; ,7268486,415.26,33.26
sdrM,App2_pt70_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3007013,fluoroquinolone antibiotic; disinfecting agents and antiseptics,fluoroquinolone antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,1,Perfect,99.7768,100.0,Staphylococcus aureus (chromosome or plasmid),973.0,ARO:3007013|ID:5729|Name:sdrM|NCBI:BA000018.3,100.0,80.41,Staphylococcus aureus (chromosome): 509; Staphylococcus aureus (chromosome or plasmid): 23; ,7268486,358.2,29.6
sepA,App2_pt70_culture,small multidrug resistance (SMR) antibiotic efflux pump,ARO:3007012,disinfecting agents and antiseptics,disinfecting agents and antiseptics,antibiotic efflux,protein homolog,1,Strict,99.3671,96.82,Staphylococcus aureus (chromosome),196.0,ARO:3007012|ID:5728|Name:sepA|NCBI:NC_016941.1,99.79,20.94,Staphylococcus aureus (chromosome): 104; ,7268486,72.16,7.71
tet(38),App2_pt70_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000565,tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,1,Strict,99.7783,99.78,Staphylococcus aureus (chromosome or plasmid),902.0,ARO:3000565|ID:1835|Name:tet(38)|NCBI:AY825285.1,100.0,73.63,Staphylococcus aureus (chromosome or plasmid): 173; ,7268486,332.06,27.11
vanD,App2_pt70_culture,glycopeptide resistance gene cluster; Van ligase,ARO:3000005,glycopeptide antibiotic,glycopeptide antibiotic,antibiotic target alteration,protein homolog,1,Nudged,2.0349,100.0,,,,,,,7268486,0.0,0.0
vanT gene in vanG cluster,App2_pt70_culture,glycopeptide resistance gene cluster; vanT,ARO:3002972,glycopeptide antibiotic,glycopeptide antibiotic,antibiotic target alteration,protein homolog,1,Strict,50.7714,33.88,,,,,,,7268486,0.0,0.0
AAC(6')-Ib7,App2_pt70_mNGS,AAC(6'),ARO:3002578,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,4.0,ARO:3002578|ID:2117|Name:AAC(6')-Ib7|NCBI:KR091911.1,15.14,0.33,,15750638,0.25,0.02
AAC(6')-Ie-APH(2'')-Ia bifunctional protein,App2_pt70_mNGS,aminoglycoside bifunctional resistance protein,ARO:3002597,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,6.0,ARO:3002597|ID:1814|Name:AAC(6')-Ie-APH(2'')-Ia_bifunctional_protein|NCBI:GU565967.1,17.85,0.36,,15750638,0.38,0.02
ANT(2'')-Ia,App2_pt70_mNGS,ANT(2''),ARO:3000230,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,ARO:3000230|ID:1372|Name:ANT(2'')-Ia|NCBI:AF078527.1,7.12,0.14,,15750638,0.13,0.01
ANT(4')-Ib,App2_pt70_mNGS,ANT(4'),ARO:3003905,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,4.0,ARO:3003905|ID:2383|Name:ANT(4')-Ib|NCBI:GQ900432.1,33.86,0.61,,15750638,0.25,0.04
APH(3'')-Ib,App2_pt70_mNGS,APH(3''),ARO:3002639,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,8.0,ARO:3002639|ID:1830|Name:APH(3'')-Ib|NCBI:AF313472.2,73.51,1.21,Acinetobacter baumannii (chromosome or plasmid): 2; ,15750638,0.51,0.08
APH(3')-IIIa,App2_pt70_mNGS,APH(3'),ARO:3002647,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,4.0,ARO:3002647|ID:1332|Name:APH(3')-IIIa|NCBI:CP004067.1,15.85,0.32,,15750638,0.25,0.02
APH(3')-Ia,App2_pt70_mNGS,APH(3'),ARO:3002641,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,10.0,ARO:3002641|ID:291|Name:APH(3')-Ia|NCBI:BX664015.1,44.0,0.98,,15750638,0.64,0.06
APH(6)-Id,App2_pt70_mNGS,APH(6),ARO:3002660,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Nudged,25.448,100.0,Unknown taxonomy (chromosome or plasmid),8.0,ARO:3002660|ID:1031|Name:APH(6)-Id|NCBI:AF024602.1,31.54,0.82,Escherichia coli (plasmid): 2; ,15750638,0.51,0.05
AcrF,App2_pt70_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000502,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,beta-lactam antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,19.0,ARO:3000502|ID:1437|Name:AcrF|NCBI:U00096.1,21.16,0.17,Klebsiella pneumoniae (chromosome): 2; ,15750638,1.21,0.01
ArnT,App2_pt70_mNGS,pmr phosphoethanolamine transferase,ARO:3005053,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,1,Strict,99.8188,99.64,Klebsiella pneumoniae (chromosome),109.0,ARO:3005053|ID:3795|Name:ArnT|NCBI:FO834906.1,100.0,6.86,Klebsiella pneumoniae (chromosome): 7; ,15750638,6.92,0.44
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,App2_pt70_mNGS,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),ARO:3004480,rifamycin antibiotic,rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,15.0,ARO:3004480|ID:2914|Name:Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin|NCBI:NC_008618.1,15.73,0.2,Klebsiella pneumoniae (chromosome): 5; ,15750638,0.95,0.01
Bifidobacterium bifidum ileS conferring resistance to mupirocin,App2_pt70_mNGS,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),ARO:3003730,mupirocin-like antibiotic,mupirocin-like antibiotic,antibiotic target alteration,protein homolog,0,,,,,5.0,ARO:3003730|ID:2278|Name:Bifidobacterium_bifidum_ileS_conferring_resistance_to_mupirocin|NCBI:CP001840.1,12.73,0.04,,15750638,0.32,0.0
CRP,App2_pt70_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000518,macrolide antibiotic; fluoroquinolone antibiotic; penam,beta-lactam antibiotic; macrolide antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,1,Strict,99.5261,99.05,Klebsiella pneumoniae (chromosome),27.0,ARO:3000518|ID:869|Name:CRP|NCBI:AP009048.1,84.68,4.29,Klebsiella pneumoniae (chromosome): 3; Klebsiella (chromosome): 4; ,15750638,1.71,0.27
Corynebacterium striatum tetA,App2_pt70_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004639,penam; tetracycline antibiotic,beta-lactam antibiotic; tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,4.0,ARO:3004639|ID:3337|Name:Corynebacterium_striatum_tetA|NCBI:NC_004939.1,7.13,0.14,Corynebacterium urealyticum (chromosome): 2; ,15750638,0.25,0.01
ErmB,App2_pt70_mNGS,Erm 23S ribosomal RNA methyltransferase,ARO:3000375,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,lincosamide antibiotic; macrolide antibiotic; streptogramin antibiotic,antibiotic target alteration,protein homolog,0,,,,,8.0,ARO:3000375|ID:1549|Name:ErmB|NCBI:AF242872.1,41.1,0.85,,15750638,0.51,0.05
ErmX,App2_pt70_mNGS,Erm 23S ribosomal RNA methyltransferase,ARO:3000596,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,lincosamide antibiotic; macrolide antibiotic; streptogramin antibiotic,antibiotic target alteration,protein homolog,1,Nudged,21.4035,96.72,Corynebacterium amycolatum (chromosome or plasmid),41.0,ARO:3000596|ID:950|Name:ErmX|NCBI:M36726.1,92.4,4.78,Corynebacterium amycolatum (chromosome): 3; Corynebacterium amycolatum (chromosome or plasmid): 1; ,15750638,2.6,0.3
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,App2_pt70_mNGS,elfamycin resistant EF-Tu,ARO:3003369,elfamycin antibiotic,elfamycin antibiotic,antibiotic target alteration,protein variant,1,Strict,96.0976,97.97,Unknown taxonomy (chromosome or plasmid),,,,,,15750638,0.0,0.0
FosA6,App2_pt70_mNGS,fosfomycin thiol transferase,ARO:3004111,phosphonic acid antibiotic,phosphonic acid antibiotic,antibiotic inactivation,protein homolog,0,,,,,31.0,ARO:3004111|ID:2779|Name:FosA6|NCBI:KU254579.1,99.29,7.79,Klebsiella pneumoniae (chromosome): 3; Klebsiella pneumoniae (chromosome or plasmid): 10; ,15750638,1.97,0.49
GES-24,App2_pt70_mNGS,GES beta-lactamase,ARO:3002353,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,3.125,100.0,,,,,,,15750638,0.0,0.0
H-NS,App2_pt70_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000676,macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; cephamycin; penam; tetracycline antibiotic,beta-lactam antibiotic; tetracycline antibiotic; macrolide antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,1,Nudged,47.1014,96.92,Klebsiella pneumoniae (chromosome or plasmid),20.0,ARO:3000676|ID:1248|Name:H-NS|NCBI:BA000007.3,78.74,4.42,Klebsiella pneumoniae (chromosome or plasmid): 1; Klebsiella (chromosome or plasmid): 13; ,15750638,1.27,0.28
Klebsiella pneumoniae KpnE,App2_pt70_mNGS,small multidrug resistance (SMR) antibiotic efflux pump,ARO:3004580,macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics,disinfecting agents and antiseptics; peptide antibiotic; beta-lactam antibiotic; rifamycin antibiotic; tetracycline antibiotic; macrolide antibiotic; aminoglycoside antibiotic,antibiotic efflux,protein homolog,2,Nudged,99.1736,99.22999999999999,Klebsiella pneumoniae (chromosome or plasmid) Klebsiella (chromosome or plasmid),17.0,ARO:3004580|ID:3283|Name:Klebsiella_pneumoniae_KpnE|NCBI:AP006725.1,100.0,4.22,Klebsiella pneumoniae (chromosome or plasmid): 2; Klebsiella (chromosome or plasmid): 3; ,15750638,1.08,0.27
Klebsiella pneumoniae KpnF,App2_pt70_mNGS,small multidrug resistance (SMR) antibiotic efflux pump,ARO:3004583,macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics,disinfecting agents and antiseptics; peptide antibiotic; beta-lactam antibiotic; rifamycin antibiotic; tetracycline antibiotic; macrolide antibiotic; aminoglycoside antibiotic,antibiotic efflux,protein homolog,1,Strict,92.7273,100.0,Klebsiella (chromosome or plasmid),12.0,ARO:3004583|ID:3286|Name:Klebsiella_pneumoniae_KpnF|NCBI:AP006725.1,93.33,3.82,Klebsiella (chromosome or plasmid): 5; ,15750638,0.76,0.24
Klebsiella pneumoniae KpnG,App2_pt70_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004588,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem,aminoglycoside antibiotic; peptide antibiotic; beta-lactam antibiotic; macrolide antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,1,Strict,99.7442,99.74,Klebsiella pneumoniae (chromosome or plasmid),105.0,ARO:3004588|ID:3298|Name:Klebsiella_pneumoniae_KpnG|NCBI:ACWO01000051.1,100.0,9.66,Klebsiella pneumoniae (chromosome or plasmid): 8; Klebsiella (chromosome or plasmid): 14; ,15750638,6.67,0.61
Klebsiella pneumoniae KpnH,App2_pt70_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004597,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem,aminoglycoside antibiotic; peptide antibiotic; beta-lactam antibiotic; macrolide antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,1,Nudged,28.655,96.6,Klebsiella pneumoniae (chromosome or plasmid),19.0,ARO:3004597|ID:3299|Name:Klebsiella_pneumoniae_KpnH|NCBI:ASTU01000063.1,40.35,1.1,Klebsiella (chromosome or plasmid): 2; ,15750638,1.21,0.07
Klebsiella pneumoniae OmpK37,App2_pt70_mNGS,General Bacterial Porin with reduced permeability to beta-lactams,ARO:3004122,monobactam; carbapenem; cephalosporin; cephamycin; penam; penem,beta-lactam antibiotic,reduced permeability to antibiotic,protein homolog,2,Nudged,78.6667,98.865,Klebsiella pneumoniae (chromosome or plasmid) Klebsiella (chromosome or plasmid),82.0,ARO:3004122|ID:2785|Name:Klebsiella_pneumoniae_OmpK37|NCBI:AJ011502.1,99.64,5.31,Klebsiella pneumoniae (chromosome or plasmid): 4; Klebsiella (chromosome): 5; Klebsiella (chromosome or plasmid): 6; ,15750638,5.21,0.34
